Sample #	Bacteria	Treatment	Experiment	Group
MAE623	MF314	flg22plus	e3	MF314.flg22plus
MAE624	MF314	flg22plus	e3	MF314.flg22plus
MAE625	MF327	flg22minus	e3	MF327.flg22minus
MAE626	MF327	flg22minus	e3	MF327.flg22minus
MAE627	MF327	flg22minus	e3	MF327.flg22minus
MAE628	MF327	flg22plus	e3	MF327.flg22plus
MAE629	MF327	flg22plus	e3	MF327.flg22plus
MAE630	MF327	flg22plus	e3	MF327.flg22plus
MAE631	MF339	flg22minus	e3	MF339.flg22minus
MAE632	MF339	flg22minus	e3	MF339.flg22minus
MAE633	MF339	flg22minus	e3	MF339.flg22minus
MAE634	MF339	flg22plus	e3	MF339.flg22plus
MAE635	MF339	flg22plus	e3	MF339.flg22plus
MAE636	MF339	flg22plus	e3	MF339.flg22plus
MAE637	MF345	flg22minus	e3	MF345.flg22minus
MAE638	MF345	flg22minus	e3	MF345.flg22minus
MAE639	MF345	flg22minus	e3	MF345.flg22minus
MAE640	MF345	flg22plus	e3	MF345.flg22plus
MAE641	MF345	flg22plus	e3	MF345.flg22plus
MAE642	MF345	flg22plus	e3	MF345.flg22plus
MAE643	MF360	flg22minus	e3	MF360.flg22minus
MAE644	MF360	flg22minus	e3	MF360.flg22minus
MAE645	MF360	flg22minus	e3	MF360.flg22minus
MAE646	MF360	flg22plus	e3	MF360.flg22plus
MAE647	MF360	flg22plus	e3	MF360.flg22plus
MAE648	MF360	flg22plus	e3	MF360.flg22plus
MAE649	MF362	flg22minus	e3	MF362.flg22minus
MAE650	MF362	flg22minus	e3	MF362.flg22minus
MAE651	MF362	flg22minus	e3	MF362.flg22minus
MAE652	MF362	flg22plus	e3	MF362.flg22plus
MAE653	MF362	flg22plus	e3	MF362.flg22plus
MAE654	MF362	flg22plus	e3	MF362.flg22plus
MAE655	MF370	flg22minus	e3	MF370.flg22minus
MAE656	MF370	flg22minus	e3	MF370.flg22minus
MAE657	MF370	flg22minus	e3	MF370.flg22minus
MAE658	MF370	flg22plus	e3	MF370.flg22plus
MAE659	MF370	flg22plus	e3	MF370.flg22plus
MAE660	MF370	flg22plus	e3	MF370.flg22plus
MAE661	MF374	flg22minus	e3	MF374.flg22minus
MAE662	MF374	flg22minus	e3	MF374.flg22minus
MAE663	MF374	flg22minus	e3	MF374.flg22minus
MAE664	MF374	flg22plus	e3	MF374.flg22plus
MAE665	MF374	flg22plus	e3	MF374.flg22plus
MAE666	MF374	flg22plus	e3	MF374.flg22plus
MAE667	MF376	flg22minus	e3	MF376.flg22minus
MAE668	MF376	flg22minus	e3	MF376.flg22minus
MAE669	MF376	flg22minus	e3	MF376.flg22minus
MAE670	MF376	flg22plus	e3	MF376.flg22plus
MAE671	MF376	flg22plus	e3	MF376.flg22plus
MAE672	MF376	flg22plus	e3	MF376.flg22plus
MAE673	cl14	flg22minus	e3	cl14.flg22minus
MAE674	cl14	flg22minus	e3	cl14.flg22minus
MAE675	cl14	flg22minus	e3	cl14.flg22minus
MAE676	cl14	flg22plus	e3	cl14.flg22plus
MAE677	cl14	flg22plus	e3	cl14.flg22plus
MAE678	cl14	flg22plus	e3	cl14.flg22plus
MAE679	cl18	flg22minus	e3	cl18.flg22minus
MAE680	cl18	flg22minus	e3	cl18.flg22minus
MAE681	cl18	flg22minus	e3	cl18.flg22minus
MAE682	cl18	flg22plus	e3	cl18.flg22plus
MAE683	cl18	flg22plus	e3	cl18.flg22plus
MAE684	cl18	flg22plus	e3	cl18.flg22plus
MAE685	cl21	flg22minus	e3	cl21.flg22minus
MAE686	cl21	flg22minus	e3	cl21.flg22minus
MAE687	cl21	flg22minus	e3	cl21.flg22minus
MAE688	cl21	flg22plus	e3	cl21.flg22plus
MAE689	cl21	flg22plus	e3	cl21.flg22plus
MAE690	cl21	flg22plus	e3	cl21.flg22plus
MAE691	cl69	flg22minus	e3	cl69.flg22minus
MAE692	cl69	flg22minus	e3	cl69.flg22minus
MAE693	cl69	flg22minus	e3	cl69.flg22minus
